address,label
osmo1yl6hdjhmkf37639730gffanpzndzdpmhxy9ep3,module-transfer
osmo1fl48vsnmsdzcv85q5d2q4z5ajdha8yu3aq6l09,module-bonded_tokens_pool
osmo1tygms3xhhs3yv487phx3dw4a95jn7t7lfqxwe3,module-not_bonded_tokens_pool
osmo1vqy8rqqlydj9wkcyvct9zxl3hc4eqgu3d7hd9k,module-developer_vesting_unvested
osmo10d07y265gmmuvt4z0w9aw880jnsr700jjeq4qp,module-gov
osmo1jv65s3grqf6v6jl3dp4t6c9t9rk99cd80yhvld,module-distribution
osmo1njty28rqtpw6n59sjj4esw76enp4mg6g7cwrhc,module-lockup
osmo1krxwf5e308jmclyhfd9u92kp369l083wequge6,module-incentives
osmo1c9y7crgg6y9pfkq0y8mqzknqz84c3etr0kpcvj,module-gamm
osmo1m3h30wlvsf8llruxtpukdvsy0km2kum8q25g3j,module-mint
osmo1m5dncvfv7lvpvycr23zja93fecun2kcv226glq,module-claim
osmo1upfuxznarpja3sywq0tzd2kktg9wv8mcc0rlm9,module-poolincentives
osmo17xpfvakm2amg962yls6f84z3kell8c5lczssa0,module-fee_collector
osmo1g003ql3feflq94wyfkqc50z74d4cxvfz3p5nmy,flipside
